,loss,dice_coef,val_loss,val_dice_coef
0,0.18383929133415222,0.7372849583625793,0.050066325813531876,0.7960726022720337
1,0.021454427391290665,0.8806877136230469,0.029451895505189896,0.8785858750343323
2,0.013098272494971752,0.9117695689201355,0.0207293089479208,0.9158535599708557
3,0.010205046273767948,0.9280763864517212,0.01941571570932865,0.9301385283470154
4,0.008468594402074814,0.9388320446014404,0.018147945404052734,0.9399526119232178
5,0.007394828833639622,0.9461925625801086,0.019312012940645218,0.9493899345397949
6,0.006835690699517727,0.9517552852630615,0.018728705123066902,0.952176034450531
7,0.00605104910209775,0.9561551213264465,0.018858151510357857,0.9575499892234802
8,0.005698860622942448,0.9593161344528198,0.018064789474010468,0.9614352583885193
9,0.005461761262267828,0.9621104001998901,0.019105639308691025,0.9600948095321655
10,0.005100887734442949,0.9645598530769348,0.018492475152015686,0.9644361138343811
11,0.004783088341355324,0.966699481010437,0.01927882991731167,0.9659059643745422
12,0.004739020951092243,0.9685580134391785,0.02124102972447872,0.9685428738594055
13,0.004373034927994013,0.9698395729064941,0.019145866855978966,0.9656103849411011
14,0.004344457294791937,0.971357524394989,0.020870473235845566,0.9700917601585388
15,0.004257482476532459,0.9724756479263306,0.01974976807832718,0.9717482924461365
16,0.004078098107129335,0.9735634326934814,0.020270192995667458,0.9681305289268494
17,0.003876544302329421,0.974542498588562,0.020292943343520164,0.9721148014068604
18,0.003756399266421795,0.9754583239555359,0.022396286949515343,0.9752518534660339
19,0.003606785787269473,0.976257860660553,0.02177692949771881,0.978241503238678
20,0.0035749429371207952,0.9770287275314331,0.024162201210856438,0.9761655330657959
21,0.003423260757699609,0.9778836369514465,0.023996317759156227,0.9734530448913574
22,0.003409878583624959,0.9782909750938416,0.02077365666627884,0.9732909798622131
23,0.0032086989376693964,0.9793252944946289,0.02031433954834938,0.9752881526947021
24,0.0032279244624078274,0.9795934557914734,0.02558651752769947,0.9811156392097473
25,0.003052805783227086,0.9803463220596313,0.02232661098241806,0.9778441190719604
26,0.002961914287880063,0.9807934761047363,0.02221454307436943,0.9786947965621948
27,0.0028346988838166,0.9814520478248596,0.021501189097762108,0.9750655293464661
28,0.0027835958171635866,0.9819676280021667,0.022838059812784195,0.9798936247825623
29,0.002671721624210477,0.9824924468994141,0.022809045389294624,0.9786530137062073
